"","uniprot","genesymbol","pathway","pathway_id"
"1819","Q9Y2C9","TLR6","Toll-like receptor signaling pathway","hsa04620"
"1820","Q9Y6Y9","LY96","Toll-like receptor signaling pathway","hsa04620"
"1821","P25963","NFKBIA","Toll-like receptor signaling pathway","hsa04620"
"1822","Q9NYK1","TLR7","Toll-like receptor signaling pathway","hsa04620"
"1823","Q13546","RIPK1","Toll-like receptor signaling pathway","hsa04620"
"1824","Q15750","TAB1","Toll-like receptor signaling pathway","hsa04620"
"1825","P41279","MAP3K8","Toll-like receptor signaling pathway","hsa04620"
"1826","Q02750","MAP2K1","Toll-like receptor signaling pathway","hsa04620"
"1827","P46734","MAP2K3","Toll-like receptor signaling pathway","hsa04620"
"1828","O14733","MAP2K7","Toll-like receptor signaling pathway","hsa04620"
"1829","P45983","MAPK8","Toll-like receptor signaling pathway","hsa04620"
"1830","P63000","RAC1","Toll-like receptor signaling pathway","hsa04620"
"1831","P01574","IFNB1","Toll-like receptor signaling pathway","hsa04620"
"1832","P17181","IFNAR1","Toll-like receptor signaling pathway","hsa04620"
"1833","P01185","AVP","Toll-like receptor signaling pathway","hsa04620"
"1834","O15111","CHUK","Toll-like receptor signaling pathway","hsa04620"
"1835","P10451","SPP1","Toll-like receptor signaling pathway","hsa04620"
"1836","Q16539","MAPK14","Toll-like receptor signaling pathway","hsa04620"
"1837","P28482","MAPK1","Toll-like receptor signaling pathway","hsa04620"
"1838","P01100","FOS","Toll-like receptor signaling pathway","hsa04620"
"1839","P19838","NFKB1","Toll-like receptor signaling pathway","hsa04620"
"1840","O14920","IKBKB","Toll-like receptor signaling pathway","hsa04620"
"1841","O43318","MAP3K7","Toll-like receptor signaling pathway","hsa04620"
"1842","P42336","PIK3CA","Toll-like receptor signaling pathway","hsa04620"
"1843","Q9Y243","AKT3","Toll-like receptor signaling pathway","hsa04620"
"1844","Q9HC29","NOD2","NOD-like receptor signaling pathway","hsa04621"
"1845","Q9C000","NLRP1","NOD-like receptor signaling pathway","hsa04621"
"1846","Q9ULZ3","PYCARD","NOD-like receptor signaling pathway","hsa04621"
"1847","Q96P20","NLRP3","NOD-like receptor signaling pathway","hsa04621"
"1848","P01185","AVP","NOD-like receptor signaling pathway","hsa04621"
"1849","O15553","MEFV","NOD-like receptor signaling pathway","hsa04621"
"1850","Q9Y2Z0","SUGT1","NOD-like receptor signaling pathway","hsa04621"
"1851","P07900","HSP90AA1","NOD-like receptor signaling pathway","hsa04621"
"1852","Q9Y239","NOD1","NOD-like receptor signaling pathway","hsa04621"
"1853","Q676U5","ATG16L1","NOD-like receptor signaling pathway","hsa04621"
"1854","Q9H1Y0","ATG5","NOD-like receptor signaling pathway","hsa04621"
"1855","O94817","ATG12","NOD-like receptor signaling pathway","hsa04621"
"1856","Q9BYM8","RBCK1","NOD-like receptor signaling pathway","hsa04621"
"1857","P98170","XIAP","NOD-like receptor signaling pathway","hsa04621"
"1858","Q9BX69","CARD6","NOD-like receptor signaling pathway","hsa04621"
"1859","Q15654","TRIP6","NOD-like receptor signaling pathway","hsa04621"
"1860","O43353","RIPK2","NOD-like receptor signaling pathway","hsa04621"
"1861","P06307","CCK","NOD-like receptor signaling pathway","hsa04621"
"1862","Q9Y6K9","IKBKG","NOD-like receptor signaling pathway","hsa04621"
"1863","O15111","CHUK","NOD-like receptor signaling pathway","hsa04621"
"1864","P25963","NFKBIA","NOD-like receptor signaling pathway","hsa04621"
"1865","P19838","NFKB1","NOD-like receptor signaling pathway","hsa04621"
"1866","Q96RT1","ERBIN","NOD-like receptor signaling pathway","hsa04621"
"1867","Q86UT6","NLRX1","NOD-like receptor signaling pathway","hsa04621"
"1868","P10415","BCL2","NOD-like receptor signaling pathway","hsa04621"
"1869","Q07817","BCL2L1","NOD-like receptor signaling pathway","hsa04621"
"1870","Q16666","IFI16","NOD-like receptor signaling pathway","hsa04621"
"1871","Q12888","TP53BP1","NOD-like receptor signaling pathway","hsa04621"
"1872","W6CW81","PYDC5","NOD-like receptor signaling pathway","hsa04621"
"1873","Q13490","BIRC2","NOD-like receptor signaling pathway","hsa04621"
"1874","Q9H257","CARD9","NOD-like receptor signaling pathway","hsa04621"
"1875","Q12933","TRAF2","NOD-like receptor signaling pathway","hsa04621"
"1876","P21580","TNFAIP3","NOD-like receptor signaling pathway","hsa04621"
"1877","Q7Z434","MAVS","NOD-like receptor signaling pathway","hsa04621"
"1878","O43318","MAP3K7","NOD-like receptor signaling pathway","hsa04621"
"1879","P28482","MAPK1","NOD-like receptor signaling pathway","hsa04621"
"1880","P45983","MAPK8","NOD-like receptor signaling pathway","hsa04621"
"1881","Q16539","MAPK14","NOD-like receptor signaling pathway","hsa04621"
"1882","P05412","JUN","NOD-like receptor signaling pathway","hsa04621"
"1883","Q14653","IRF3","NOD-like receptor signaling pathway","hsa04621"
"1884","Q13114","TRAF3","NOD-like receptor signaling pathway","hsa04621"
"1885","Q01518","CAP1","NOD-like receptor signaling pathway","hsa04621"
"1886","Q14164","IKBKE","NOD-like receptor signaling pathway","hsa04621"
"1887","Q15750","TAB1","NOD-like receptor signaling pathway","hsa04621"
"1888","P07858","CTSB","NOD-like receptor signaling pathway","hsa04621"
"1889","Q5T6X5","GPRC6A","NOD-like receptor signaling pathway","hsa04621"
"1890","Q05823","RNASEL","NOD-like receptor signaling pathway","hsa04621"
"1891","Q9H6R0","DHX33","NOD-like receptor signaling pathway","hsa04621"
"1892","Q9H3M7","TXNIP","NOD-like receptor signaling pathway","hsa04621"
"1893","P04839","CYBB","NOD-like receptor signaling pathway","hsa04621"
"1894","P59044","NLRP6","NOD-like receptor signaling pathway","hsa04621"
"1895","Q58A45","PAN3","NOD-like receptor signaling pathway","hsa04621"
"1896","Q8WX94","NLRP7","NOD-like receptor signaling pathway","hsa04621"
"1897","P59046","NLRP12","NOD-like receptor signaling pathway","hsa04621"
"1898","Q9NPP4","NLRC4","NOD-like receptor signaling pathway","hsa04621"
"1899","O14862","AIM2","NOD-like receptor signaling pathway","hsa04621"
"1900","Q9NWZ3","IRAK4","NOD-like receptor signaling pathway","hsa04621"
"1901","P23458","JAK1","NOD-like receptor signaling pathway","hsa04621"
"1902","P43490","NAMPT","NOD-like receptor signaling pathway","hsa04621"
"1903","Q9Y572","RIPK3","NOD-like receptor signaling pathway","hsa04621"
"1904","Q8TDX7","NEK7","NOD-like receptor signaling pathway","hsa04621"
"1905","P46736","BRCC3","NOD-like receptor signaling pathway","hsa04621"
"1906","Q14790","CASP8","NOD-like receptor signaling pathway","hsa04621"
"1907","Q8WXC3","PYDC1","NOD-like receptor signaling pathway","hsa04621"
"1908","Q99575","POP1","NOD-like receptor signaling pathway","hsa04621"
"1909","Q56P42","PYDC2","NOD-like receptor signaling pathway","hsa04621"
"1910","Q6UXS9","CASP12","NOD-like receptor signaling pathway","hsa04621"
"1911","Q5EG05","CARD16","NOD-like receptor signaling pathway","hsa04621"
"1912","Q8NHY2","COP1","NOD-like receptor signaling pathway","hsa04621"
"1913","Q13075","NAIP","NOD-like receptor signaling pathway","hsa04621"
"1914","Q05655","PRKCD","NOD-like receptor signaling pathway","hsa04621"
"1915","P29466","CASP1","NOD-like receptor signaling pathway","hsa04621"
"1916","P51878","CASP5","NOD-like receptor signaling pathway","hsa04621"
"1917","P49662","CASP4","NOD-like receptor signaling pathway","hsa04621"
"1918","P57764","GSDMD","NOD-like receptor signaling pathway","hsa04621"
"1919","P01562","IFNA1","NOD-like receptor signaling pathway","hsa04621"
"1920","P17181","IFNAR1","NOD-like receptor signaling pathway","hsa04621"
"1921","Q00978","IRF9","NOD-like receptor signaling pathway","hsa04621"
"1922","O00206","TLR4","NOD-like receptor signaling pathway","hsa04621"
"1923","Q8IUC6","TICAM1","NOD-like receptor signaling pathway","hsa04621"
"1924","Q99836","MYD88","NOD-like receptor signaling pathway","hsa04621"
"1925","Q86WV6","STING1","NOD-like receptor signaling pathway","hsa04621"
"1926","Q9UHD2","TBK1","NOD-like receptor signaling pathway","hsa04621"
"1927","Q9Y4K3","TRAF6","NOD-like receptor signaling pathway","hsa04621"
"1928","P61586","RHOA","NOD-like receptor signaling pathway","hsa04621"
"1929","O95786","DDX58","RIG-I-like receptor signaling pathway","hsa04622"
"1930","Q7Z434","MAVS","RIG-I-like receptor signaling pathway","hsa04622"
"1931","Q13114","TRAF3","RIG-I-like receptor signaling pathway","hsa04622"
"1932","Q01518","CAP1","RIG-I-like receptor signaling pathway","hsa04622"
"1933","Q15628","TRADD","RIG-I-like receptor signaling pathway","hsa04622"
"1934","P25963","NFKBIA","RIG-I-like receptor signaling pathway","hsa04622"
"1935","Q9BYX4","IFIH1","RIG-I-like receptor signaling pathway","hsa04622"
"1936","Q12933","TRAF2","RIG-I-like receptor signaling pathway","hsa04622"
"1937","O43318","MAP3K7","RIG-I-like receptor signaling pathway","hsa04622"
"1938","Q9Y4K3","TRAF6","RIG-I-like receptor signaling pathway","hsa04622"
"1939","Q13233","MAP3K1","RIG-I-like receptor signaling pathway","hsa04622"
"1940","Q96C10","DHX58","RIG-I-like receptor signaling pathway","hsa04622"
"1941","Q14258","TRIM25","RIG-I-like receptor signaling pathway","hsa04622"
"1942","Q9NQC7","CYLD","RIG-I-like receptor signaling pathway","hsa04622"
"1943","Q96EQ8","RNF125","RIG-I-like receptor signaling pathway","hsa04622"
"1944","P05161","ISG15","RIG-I-like receptor signaling pathway","hsa04622"
"1945","Q86WV6","STING1","RIG-I-like receptor signaling pathway","hsa04622"
"1946","Q96G74","OTUD5","RIG-I-like receptor signaling pathway","hsa04622"
"1947","Q9BRV8","SIKE1","RIG-I-like receptor signaling pathway","hsa04622"
"1948","O00571","DDX3X","RIG-I-like receptor signaling pathway","hsa04622"
"1949","Q13526","PIN1","RIG-I-like receptor signaling pathway","hsa04622"
"1950","Q9BZL1","UBL5","RIG-I-like receptor signaling pathway","hsa04622"
"1951","Q3LXA3","TKFC","RIG-I-like receptor signaling pathway","hsa04622"
"1952","Q86UT6","NLRX1","RIG-I-like receptor signaling pathway","hsa04622"
"1953","O14920","IKBKB","RIG-I-like receptor signaling pathway","hsa04622"
"1954","Q14653","IRF3","RIG-I-like receptor signaling pathway","hsa04622"
"1955","Q92985","IRF7","RIG-I-like receptor signaling pathway","hsa04622"
"1956","P19838","NFKB1","RIG-I-like receptor signaling pathway","hsa04622"
"1957","O95786","DDX58","Cytosolic DNA-sensing pathway","hsa04623"
"1958","Q7Z434","MAVS","Cytosolic DNA-sensing pathway","hsa04623"
"1959","Q9UHD2","TBK1","Cytosolic DNA-sensing pathway","hsa04623"
"1960","Q14164","IKBKE","Cytosolic DNA-sensing pathway","hsa04623"
"1961","Q9H171","ZBP1","Cytosolic DNA-sensing pathway","hsa04623"
"1962","Q13546","RIPK1","Cytosolic DNA-sensing pathway","hsa04623"
"1963","O15111","CHUK","Cytosolic DNA-sensing pathway","hsa04623"
"1964","P25963","NFKBIA","Cytosolic DNA-sensing pathway","hsa04623"
"1965","O14862","AIM2","Cytosolic DNA-sensing pathway","hsa04623"
"1966","Q9ULZ3","PYCARD","Cytosolic DNA-sensing pathway","hsa04623"
"1967","P19838","NFKB1","Cytosolic DNA-sensing pathway","hsa04623"
"1968","Q14653","IRF3","Cytosolic DNA-sensing pathway","hsa04623"
"1969","Q92985","IRF7","Cytosolic DNA-sensing pathway","hsa04623"
"1970","P29466","CASP1","Cytosolic DNA-sensing pathway","hsa04623"
"1971","P43405","SYK","C-type lectin receptor signaling pathway","hsa04625"
"1972","P62070","RRAS2","C-type lectin receptor signaling pathway","hsa04625"
"1973","Q8TD86","CALML6","C-type lectin receptor signaling pathway","hsa04625"
"1974","Q05655","PRKCD","C-type lectin receptor signaling pathway","hsa04625"
"1975","Q9NZN5","ARHGEF12","C-type lectin receptor signaling pathway","hsa04625"
"1976","Q6EIG7","CLEC6A","C-type lectin receptor signaling pathway","hsa04625"
"1977","Q9H2X3","CLEC4M","C-type lectin receptor signaling pathway","hsa04625"
"1978","Q9ULY5","CLEC4E","C-type lectin receptor signaling pathway","hsa04625"
"1979","Q8WXI8","CLEC4D","C-type lectin receptor signaling pathway","hsa04625"
"1980","P30273","FCER1G","C-type lectin receptor signaling pathway","hsa04625"
"1981","P19838","NFKB1","C-type lectin receptor signaling pathway","hsa04625"
"1982","Q04206","RELA","C-type lectin receptor signaling pathway","hsa04625"
"1983","Q00987","MDM2","C-type lectin receptor signaling pathway","hsa04625"
"1984","P20749","BCL3","C-type lectin receptor signaling pathway","hsa04625"
"1985","Q00978","IRF9","C-type lectin receptor signaling pathway","hsa04625"
"1986","P42224","STAT1","C-type lectin receptor signaling pathway","hsa04625"
"1987","P04049","RAF1","C-type lectin receptor signaling pathway","hsa04625"
"1988","Q9Y6K9","IKBKG","C-type lectin receptor signaling pathway","hsa04625"
"1989","Q9H257","CARD9","C-type lectin receptor signaling pathway","hsa04625"
"1990","O95999","BCL10","C-type lectin receptor signaling pathway","hsa04625"
"1991","Q01201","RELB","C-type lectin receptor signaling pathway","hsa04625"
"1992","Q96P20","NLRP3","C-type lectin receptor signaling pathway","hsa04625"
"1993","P01185","AVP","C-type lectin receptor signaling pathway","hsa04625"
"1994","Q99558","MAP3K14","C-type lectin receptor signaling pathway","hsa04625"
"1995","O15111","CHUK","C-type lectin receptor signaling pathway","hsa04625"
"1996","Q16539","MAPK14","C-type lectin receptor signaling pathway","hsa04625"
"1997","P45983","MAPK8","C-type lectin receptor signaling pathway","hsa04625"
"1998","P28482","MAPK1","C-type lectin receptor signaling pathway","hsa04625"
"1999","Q14164","IKBKE","C-type lectin receptor signaling pathway","hsa04625"
"2000","P49137","MAPKAPK2","C-type lectin receptor signaling pathway","hsa04625"
"2001","Q9Y243","AKT3","C-type lectin receptor signaling pathway","hsa04625"
"2002","Q08209","PPP3CA","C-type lectin receptor signaling pathway","hsa04625"
"2003","O00622","CCN1","C-type lectin receptor signaling pathway","hsa04625"
"2004","Q13191","CBLB","C-type lectin receptor signaling pathway","hsa04625"
"2005","Q9NQC7","CYLD","C-type lectin receptor signaling pathway","hsa04625"
"2006","P33241","LSP1","C-type lectin receptor signaling pathway","hsa04625"
"2007","Q9P126","CLEC1B","C-type lectin receptor signaling pathway","hsa04625"
"2008","Q92478","CLEC2B","C-type lectin receptor signaling pathway","hsa04625"
"2009","Q9BXN2","CLEC7A","C-type lectin receptor signaling pathway","hsa04625"
"2010","P12931","SRC","C-type lectin receptor signaling pathway","hsa04625"
"2011","Q13153","PAK1","C-type lectin receptor signaling pathway","hsa04625"
"2012","P61586","RHOA","C-type lectin receptor signaling pathway","hsa04625"
"2013","O95644","NFATC1","C-type lectin receptor signaling pathway","hsa04625"
"2014","P05412","JUN","C-type lectin receptor signaling pathway","hsa04625"
"2015","P42336","PIK3CA","C-type lectin receptor signaling pathway","hsa04625"
"2016","Q14790","CASP8","C-type lectin receptor signaling pathway","hsa04625"
"2017","P19174","PLCG1","Natural killer cell mediated cytotoxicity","hsa04650"
"2018","P01889","HLA-B","Natural killer cell mediated cytotoxicity","hsa04650"
"2019","P04439","HLA-A","Natural killer cell mediated cytotoxicity","hsa04650"
"2020","P17693","HLA-G","Natural killer cell mediated cytotoxicity","hsa04650"
"2021","P10321","HLA-C","Natural killer cell mediated cytotoxicity","hsa04650"
"2022","P09326","CD48","Natural killer cell mediated cytotoxicity","hsa04650"
"2023","P50591","TNFSF10","Natural killer cell mediated cytotoxicity","hsa04650"
"2024","P48023","FASLG","Natural killer cell mediated cytotoxicity","hsa04650"
"2025","P10144","GZMB","Natural killer cell mediated cytotoxicity","hsa04650"
"2026","Q8N743","KIR3DL3","Natural killer cell mediated cytotoxicity","hsa04650"
"2027","P43626","KIR2DL1","Natural killer cell mediated cytotoxicity","hsa04650"
"2028","P43628","KIR2DL3","Natural killer cell mediated cytotoxicity","hsa04650"
"2029","Q9BZW8","CD244","Natural killer cell mediated cytotoxicity","hsa04650"
"2030","O60880","SH2D1A","Natural killer cell mediated cytotoxicity","hsa04650"
"2031","P56278","MTCP1","Natural killer cell mediated cytotoxicity","hsa04650"
"2032","O43914","TYROBP","Natural killer cell mediated cytotoxicity","hsa04650"
"2033","P30273","FCER1G","Natural killer cell mediated cytotoxicity","hsa04650"
"2034","P20963","CD247","Natural killer cell mediated cytotoxicity","hsa04650"
"2035","P43403","ZAP70","Natural killer cell mediated cytotoxicity","hsa04650"
"2036","P43405","SYK","Natural killer cell mediated cytotoxicity","hsa04650"
"2037","Q9UBK5","HCST","Natural killer cell mediated cytotoxicity","hsa04650"
"2038","P42336","PIK3CA","Natural killer cell mediated cytotoxicity","hsa04650"
"2039","Q14289","PTK2B","Natural killer cell mediated cytotoxicity","hsa04650"
"2040","P63000","RAC1","Natural killer cell mediated cytotoxicity","hsa04650"
"2041","Q13094","LCP2","Natural killer cell mediated cytotoxicity","hsa04650"
"2042","O43561","LAT","Natural killer cell mediated cytotoxicity","hsa04650"
"2043","P98077","SHC2","Natural killer cell mediated cytotoxicity","hsa04650"
"2044","P62993","GRB2","Natural killer cell mediated cytotoxicity","hsa04650"
"2045","Q07889","SOS1","Natural killer cell mediated cytotoxicity","hsa04650"
"2046","P14210","HGF","Natural killer cell mediated cytotoxicity","hsa04650"
"2047","P01112","HRAS","Natural killer cell mediated cytotoxicity","hsa04650"
"2048","P28482","MAPK1","Natural killer cell mediated cytotoxicity","hsa04650"
"2049","O95644","NFATC1","Natural killer cell mediated cytotoxicity","hsa04650"
"2050","P15260","IFNGR1","Natural killer cell mediated cytotoxicity","hsa04650"
"2051","P01579","IFNG","Natural killer cell mediated cytotoxicity","hsa04650"
"2052","P01562","IFNA1","Natural killer cell mediated cytotoxicity","hsa04650"
"2053","P17181","IFNAR1","Natural killer cell mediated cytotoxicity","hsa04650"
"2054","P01185","AVP","Natural killer cell mediated cytotoxicity","hsa04650"
"2055","Q13153","PAK1","Natural killer cell mediated cytotoxicity","hsa04650"
"2056","Q02750","MAP2K1","Natural killer cell mediated cytotoxicity","hsa04650"
"2057","P10398","ARAF","Natural killer cell mediated cytotoxicity","hsa04650"
"2058","P06239","LCK","Natural killer cell mediated cytotoxicity","hsa04650"
"2059","P06241","FYN","Natural killer cell mediated cytotoxicity","hsa04650"
"2060","Q9H2G2","SLK","Natural killer cell mediated cytotoxicity","hsa04650"
"2061","P29350","PTPN6","Natural killer cell mediated cytotoxicity","hsa04650"
"2062","Q06124","PTPN11","Natural killer cell mediated cytotoxicity","hsa04650"
"2063","Q08209","PPP3CA","Natural killer cell mediated cytotoxicity","hsa04650"
"2064","O00622","CCN1","Natural killer cell mediated cytotoxicity","hsa04650"
"2065","P78314","SH3BP2","Natural killer cell mediated cytotoxicity","hsa04650"
"2066","P0DP08","IGHV4-38-2","Natural killer cell mediated cytotoxicity","hsa04650"
"2067","P04439","HLA-A","Antigen processing and presentation","hsa04612"
"2068","P28067","HLA-DMA","Antigen processing and presentation","hsa04612"
"2069","P04233","CD74","Antigen processing and presentation","hsa04612"
"2070","P01579","IFNG","Antigen processing and presentation","hsa04612"
"2071","P01375","TNF","Antigen processing and presentation","hsa04612"
"2072","P33076","CIITA","Antigen processing and presentation","hsa04612"
"2073","P01732","CD8A","Antigen processing and presentation","hsa04612"
"2074","P01730","CD4","Antigen processing and presentation","hsa04612"
"2075","P07858","CTSB","Antigen processing and presentation","hsa04612"
"2076","Q99538","LGMN","Antigen processing and presentation","hsa04612"
"2077","O15533","TAPBP","Antigen processing and presentation","hsa04612"
"2078","P29350","PTPN6","T cell receptor signaling pathway","hsa04660"
"2079","P16333","NCK1","T cell receptor signaling pathway","hsa04660"
"2080","Q08881","ITK","T cell receptor signaling pathway","hsa04660"
"2081","P19174","PLCG1","T cell receptor signaling pathway","hsa04660"
"2082","O75791","GRAP2","T cell receptor signaling pathway","hsa04660"
"2083","O43561","LAT","T cell receptor signaling pathway","hsa04660"
"2084","P62993","GRB2","T cell receptor signaling pathway","hsa04660"
"2085","P01730","CD4","T cell receptor signaling pathway","hsa04660"
"2086","P43403","ZAP70","T cell receptor signaling pathway","hsa04660"
"2087","Q13191","CBLB","T cell receptor signaling pathway","hsa04660"
"2088","Q9Y6W8","ICOS","T cell receptor signaling pathway","hsa04660"
"2089","P10747","CD28","T cell receptor signaling pathway","hsa04660"
"2090","P42336","PIK3CA","T cell receptor signaling pathway","hsa04660"
"2091","Q07889","SOS1","T cell receptor signaling pathway","hsa04660"
"2092","P14210","HGF","T cell receptor signaling pathway","hsa04660"
"2093","O95267","RASGRP1","T cell receptor signaling pathway","hsa04660"
"2094","P25963","NFKBIA","T cell receptor signaling pathway","hsa04660"
"2095","P01112","HRAS","T cell receptor signaling pathway","hsa04660"
"2096","P04049","RAF1","T cell receptor signaling pathway","hsa04660"
"2097","Q02750","MAP2K1","T cell receptor signaling pathway","hsa04660"
"2098","Q04759","PRKCQ","T cell receptor signaling pathway","hsa04660"
"2099","O14733","MAP2K7","T cell receptor signaling pathway","hsa04660"
"2100","P45983","MAPK8","T cell receptor signaling pathway","hsa04660"
"2101","Q9Y243","AKT3","T cell receptor signaling pathway","hsa04660"
"2102","P49841","GSK3B","T cell receptor signaling pathway","hsa04660"
"2103","Q16539","MAPK14","T cell receptor signaling pathway","hsa04660"
"2104","O95999","BCL10","T cell receptor signaling pathway","hsa04660"
"2105","O43318","MAP3K7","T cell receptor signaling pathway","hsa04660"
"2106","P08575","PTPRC","T cell receptor signaling pathway","hsa04660"
"2107","P07766","CD3E","T cell receptor signaling pathway","hsa04660"
"2108","P20963","CD247","T cell receptor signaling pathway","hsa04660"
"2109","P06241","FYN","T cell receptor signaling pathway","hsa04660"
"2110","Q9H2G2","SLK","T cell receptor signaling pathway","hsa04660"
"2111","Q08209","PPP3CA","T cell receptor signaling pathway","hsa04660"
"2112","O00622","CCN1","T cell receptor signaling pathway","hsa04660"
"2113","P41279","MAP3K8","T cell receptor signaling pathway","hsa04660"
"2114","O14920","IKBKB","T cell receptor signaling pathway","hsa04660"
"2115","O15530","PDPK1","T cell receptor signaling pathway","hsa04660"
"2116","Q15118","PDK1","T cell receptor signaling pathway","hsa04660"
"2117","Q6A1A2","PDPK2P","T cell receptor signaling pathway","hsa04660"
"2118","Q12959","DLG1","T cell receptor signaling pathway","hsa04660"
"2119","P06239","LCK","T cell receptor signaling pathway","hsa04660"
"2120","P28482","MAPK1","T cell receptor signaling pathway","hsa04660"
"2121","O95644","NFATC1","T cell receptor signaling pathway","hsa04660"
"2122","P01100","FOS","T cell receptor signaling pathway","hsa04660"
"2123","P19838","NFKB1","T cell receptor signaling pathway","hsa04660"
"2124","Q9NYJ7","DLL3","Th1 and Th2 cell differentiation","hsa04658"
"2125","P01579","IFNG","Th1 and Th2 cell differentiation","hsa04658"
"2126","P15260","IFNGR1","Th1 and Th2 cell differentiation","hsa04658"
"2127","P29459","IL12A","Th1 and Th2 cell differentiation","hsa04658"
"2128","P42701","IL12RB1","Th1 and Th2 cell differentiation","hsa04658"
"2129","P42224","STAT1","Th1 and Th2 cell differentiation","hsa04658"
"2130","Q14765","STAT4","Th1 and Th2 cell differentiation","hsa04658"
"2131","Q9UL17","TBX21","Th1 and Th2 cell differentiation","hsa04658"
"2132","P28067","HLA-DMA","Th1 and Th2 cell differentiation","hsa04658"
"2133","P01730","CD4","Th1 and Th2 cell differentiation","hsa04658"
"2134","P06239","LCK","Th1 and Th2 cell differentiation","hsa04658"
"2135","P43403","ZAP70","Th1 and Th2 cell differentiation","hsa04658"
"2136","O43561","LAT","Th1 and Th2 cell differentiation","hsa04658"
"2137","Q08209","PPP3CA","Th1 and Th2 cell differentiation","hsa04658"
"2138","O00622","CCN1","Th1 and Th2 cell differentiation","hsa04658"
"2139","O15111","CHUK","Th1 and Th2 cell differentiation","hsa04658"
"2140","P19838","NFKB1","Th1 and Th2 cell differentiation","hsa04658"
"2141","P28482","MAPK1","Th1 and Th2 cell differentiation","hsa04658"
"2142","Q16539","MAPK14","Th1 and Th2 cell differentiation","hsa04658"
"2143","P45983","MAPK8","Th1 and Th2 cell differentiation","hsa04658"
"2144","P60568","IL2","Th1 and Th2 cell differentiation","hsa04658"
"2145","P05112","IL4","Th1 and Th2 cell differentiation","hsa04658"
"2146","P01589","IL2RA","Th1 and Th2 cell differentiation","hsa04658"
"2147","P24394","IL4R","Th1 and Th2 cell differentiation","hsa04658"
"2148","O95644","NFATC1","Th1 and Th2 cell differentiation","hsa04658"
"2149","P01100","FOS","Th1 and Th2 cell differentiation","hsa04658"
"2150","P05412","JUN","Th1 and Th2 cell differentiation","hsa04658"
"2151","P42229","STAT5A","Th1 and Th2 cell differentiation","hsa04658"
"2152","P42226","STAT6","Th1 and Th2 cell differentiation","hsa04658"
"2153","P23771","GATA3","Th1 and Th2 cell differentiation","hsa04658"
"2154","O75444","MAF","Th1 and Th2 cell differentiation","hsa04658"
"2155","P78504","JAG1","Th1 and Th2 cell differentiation","hsa04658"
"2156","Q04759","PRKCQ","Th1 and Th2 cell differentiation","hsa04658"
"2157","P01584","IL1B","Th17 cell differentiation","hsa04659"
"2158","P01137","TGFB1","Th17 cell differentiation","hsa04659"
"2159","P36897","TGFBR1","Th17 cell differentiation","hsa04659"
"2160","P31785","IL2RG","Th17 cell differentiation","hsa04659"
"2161","P08887","IL6R","Th17 cell differentiation","hsa04659"
"2162","P06239","LCK","Th17 cell differentiation","hsa04659"
"2163","P43403","ZAP70","Th17 cell differentiation","hsa04659"
"2164","O43561","LAT","Th17 cell differentiation","hsa04659"
"2165","Q6UWB1","IL27RA","Th17 cell differentiation","hsa04659"
"2166","P15260","IFNGR1","Th17 cell differentiation","hsa04659"
"2167","P01589","IL2RA","Th17 cell differentiation","hsa04659"
"2168","P01730","CD4","Th17 cell differentiation","hsa04659"
"2169","Q16539","MAPK14","Th17 cell differentiation","hsa04659"
"2170","P42345","MTOR","Th17 cell differentiation","hsa04659"
"2171","Q15796","SMAD2","Th17 cell differentiation","hsa04659"
"2172","P40763","STAT3","Th17 cell differentiation","hsa04659"
"2173","O95644","NFATC1","Th17 cell differentiation","hsa04659"
"2174","P42226","STAT6","Th17 cell differentiation","hsa04659"
"2175","P42224","STAT1","Th17 cell differentiation","hsa04659"
"2176","Q01196","RUNX1","Th17 cell differentiation","hsa04659"
"2177","P51449","RORC","Th17 cell differentiation","hsa04659"
"2178","P42229","STAT5A","Th17 cell differentiation","hsa04659"
"2179","Q9BZS1","FOXP3","Th17 cell differentiation","hsa04659"
"2180","O15111","CHUK","Th17 cell differentiation","hsa04659"
"2181","P28482","MAPK1","Th17 cell differentiation","hsa04659"
"2182","P45983","MAPK8","Th17 cell differentiation","hsa04659"
"2183","Q08209","PPP3CA","Th17 cell differentiation","hsa04659"
"2184","O00622","CCN1","Th17 cell differentiation","hsa04659"
"2185","P14778","IL1R1","Th17 cell differentiation","hsa04659"
"2186","P23771","GATA3","Th17 cell differentiation","hsa04659"
"2187","Q9UL17","TBX21","Th17 cell differentiation","hsa04659"
"2188","Q15628","TRADD","IL-17 signaling pathway","hsa04657"
"2189","Q13158","FADD","IL-17 signaling pathway","hsa04657"
"2190","O43734","TRAF3IP2","IL-17 signaling pathway","hsa04657"
"2191","Q16539","MAPK14","IL-17 signaling pathway","hsa04657"
"2192","Q9Y4K3","TRAF6","IL-17 signaling pathway","hsa04657"
"2193","P19838","NFKB1","IL-17 signaling pathway","hsa04657"
"2194","P01100","FOS","IL-17 signaling pathway","hsa04657"
"2195","P17676","CEBPB","IL-17 signaling pathway","hsa04657"
"2196","Q14164","IKBKE","IL-17 signaling pathway","hsa04657"
"2197","Q9UHD2","TBK1","IL-17 signaling pathway","hsa04657"
"2198","P28482","MAPK1","IL-17 signaling pathway","hsa04657"
"2199","P49841","GSK3B","IL-17 signaling pathway","hsa04657"
